symbol,name,sector,market_board
GTCO,Guaranty Trust Holding Company Plc,Financial Services,Main Board
ZENITHBANK,Zenith Bank Plc,Financial Services,Main Board
ACCESSCORP,Access Holdings Plc,Financial Services,Main Board
UBA,United Bank for Africa Plc,Financial Services,Main Board
FIDELITYBK,Fidelity Bank Plc,Financial Services,Main Board
MTNN,MTN Nigeria Communications Plc,ICT,Premium Board
AIRTELAFRI,Airtel Africa Plc,ICT,Main Board
DANGCEM,Dangote Cement Plc,Industrial Goods,Premium Board
BUACEMENT,BUA Cement Plc,Industrial Goods,Main Board
WAPCO,Lafarge Africa Plc,Industrial Goods,Main Board
NESTLE,Nestle Nigeria Plc,Consumer Goods,Main Board
BUAFOODS,BUA Foods Plc,Consumer Goods,Main Board
NB,Nigerian Breweries Plc,Consumer Goods,Main Board
UNILEVER,Unilever Nigeria Plc,Consumer Goods,Main Board
PRESCO,Presco Plc,Agriculture,Main Board
OKOMUOIL,Okomu Oil Palm Plc,Agriculture,Main Board
SEPLAT,Seplat Energy Plc,Oil and Gas,Premium Board
ARADEL,Aradel Holdings Plc,Oil and Gas,Main Board
TRANSCORP,Transnational Corporation Plc,Conglomerates,Main Board
AIICO,AIICO Insurance Plc,Financial Services,Main Board
